username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2020-05-01 12:07;24805;107858;"Cryin’ Chuck Schumer was on a late night show using a false talking point over & over again. “We don’t have enough testing ,” he would repeat, when he knows we have done a great job on Testing, just like we have on Ventilators and everything else. He lied, gave NY SALT. Run AOC!";;;;"1256193615724007425";https://twitter.com/realDonaldTrump/status/1256193615724007425
realDonaldTrump;2020-05-01 11:55;19231;80928;"Dirty Cop!https://twitter.com/TomFitton/status/1255853886138613760 …";;;;"1256190556839051264";https://twitter.com/realDonaldTrump/status/1256190556839051264
realDonaldTrump;2020-05-01 11:54;15131;67377;"I have done more for farmers and ranchers than any President in history, and it has been my honor in doing so!https://twitter.com/WhiteHouse/status/1256018535823925249 …";;;;"1256190183298473985";https://twitter.com/realDonaldTrump/status/1256190183298473985
realDonaldTrump;2020-05-01 00:54;37591;154224;"“The only thing we got wrong is that it was even worse (the corruption) than we thought.” @Jim_Jordan DIRTY COPS!";;@Jim_Jordan;;"1256024228777857025";https://twitter.com/realDonaldTrump/status/1256024228777857025
realDonaldTrump;2020-05-01 00:23;11049;34437;"Vote @MikeGarcia2020 by May 12th! His opponent @ChristyforCA25 voted to fire teachers, and cut their salaries while bumping up her pay. Now she’s mocking our Great Vets! We need Navy Fighter Pilot Mike Garcia in #CA25!https://secure.winred.com/mikegarcia/donate …";;@MikeGarcia2020 @ChristyforCA25;#CA25;"1256016249169084417";https://twitter.com/realDonaldTrump/status/1256016249169084417
realDonaldTrump;2020-05-01 00:11;8346;32808;"....He is Strong on Crime, the Border, and Second Amendment. Tom has deep roots in Wisconsin, is a big Tax Cutter, and will help me DRAIN THE SWAMP! Tom has my Complete and Total Endorsement. Vote for Tom Tiffany!https://secure.winred.com/tiffany-for-wisconsin/donate …";;;;"1256013240896835585";https://twitter.com/realDonaldTrump/status/1256013240896835585
realDonaldTrump;2020-05-01 00:11;13333;55178;"Tom Tiffany ( @TomTiffanyWI) is a Great Advocate for the incredible people of Wisconsin (WI07). We need Tom in Congress to help us Make America Great Again! He will Fight for Small Business, supports our Incredible Farmers, Loves our Military and our Vets....";;@TomTiffanyWI;;"1256013239487549441";https://twitter.com/realDonaldTrump/status/1256013239487549441
realDonaldTrump;2020-04-30 18:25;16546;63837;"Over 120 MILLION Economic Impact Payments have already gone out to hardworking Americans! If you haven’t yet received your payment, go to http://IRS.gov and click on “GET MY PAYMENT” to receive your money FAST!";;;;"1255926261068763143";https://twitter.com/realDonaldTrump/status/1255926261068763143
realDonaldTrump;2020-04-30 14:09;44217;203032;"We can’t let the Fake News, and their partner, the Radical Left, Do Nothing Democrats, get away with stealing the Election. They tried that in 2016. How did that work out?";;;;"1255861756741726208";https://twitter.com/realDonaldTrump/status/1255861756741726208
realDonaldTrump;2020-04-30 12:53;12199;43082;"The Do Nothing Democrats!https://twitter.com/GOPLeader/status/1255553758253256704 …";;;;"1255842713603387392";https://twitter.com/realDonaldTrump/status/1255842713603387392
realDonaldTrump;2020-04-30 12:31;11608;43737;"FAKE NEWS!https://twitter.com/realDonaldTrump/status/1255706636972363776 …";;;;"1255837215927787520";https://twitter.com/realDonaldTrump/status/1255837215927787520
realDonaldTrump;2020-04-30 12:30;13299;57961;"Great!https://twitter.com/GenFlynn/status/1255645641105182722 …";;;;"1255837028526297088";https://twitter.com/realDonaldTrump/status/1255837028526297088
realDonaldTrump;2020-04-30 12:11;53763;240084;"DIRTY COP JAMES COMEY GOT CAUGHT!";;;;"1255832117583495169";https://twitter.com/realDonaldTrump/status/1255832117583495169
realDonaldTrump;2020-04-30 12:02;13527;48031;"Plus many!https://twitter.com/TomFitton/status/1255676634721632256 …";;;;"1255829937690480643";https://twitter.com/realDonaldTrump/status/1255829937690480643
realDonaldTrump;2020-04-30 11:59;7940;38820;"Really? Have you looked at the numbers lately!https://twitter.com/mitchellvii/status/1255798948461187073 …";;;;"1255829082660577283";https://twitter.com/realDonaldTrump/status/1255829082660577283
