County,DEM,REP,Votes,Voters,Year,Prez_Election,State,Voter_ID,Senate_2018,Dem_Percent,Rep_Percent,Rep_Lean,Turnout,FIPS
COMAL,6312,12651,24941,31616,1992,1,TX,0,0,0.2530772623391203,0.5072370795076381,0.25415981716851777,0.7888727226720648,48091
COMANCHE,2296,1666,5248,7204,1992,1,TX,0,0,0.4375,0.3174542682926829,-0.12004573170731708,0.7284841754580789,48093
CONCHO,489,414,1236,1732,1992,1,TX,0,0,0.39563106796116504,0.33495145631067963,-0.06067961165048541,0.7136258660508084,48095
COOKE,3105,5299,13084,17388,1992,1,TX,0,0,0.23731274839498626,0.4049984714154693,0.16768572302048304,0.7524729698642743,48097
CORYELL,4157,6144,14312,19591,1992,1,TX,0,0,0.2904555617663499,0.4292901062045836,0.13883454443823368,0.7305395334592415,48099
COTTLE,542,245,1025,1562,1992,1,TX,0,0,0.5287804878048781,0.23902439024390243,-0.28975609756097565,0.6562099871959027,48101
CRANE,514,918,1845,2530,1992,1,TX,0,0,0.2785907859078591,0.4975609756097561,0.21897018970189702,0.7292490118577075,48103
CROCKETT,653,623,1645,2626,1992,1,TX,0,0,0.39696048632218844,0.37872340425531914,-0.018237082066869303,0.6264280274181264,48105
CROSBY,1010,1006,2335,3736,1992,1,TX,0,0,0.43254817987152033,0.43083511777301925,-0.0017130620985010836,0.625,48107
CULBERSON,424,251,847,1730,1992,1,TX,0,0,0.500590318772137,0.29634002361275086,-0.20425029515938614,0.48959537572254336,48109
DALLAM,434,922,1683,2328,1992,1,TX,0,0,0.2578728461081402,0.5478312537136066,0.28995840760546643,0.7229381443298969,48111
DALLAS,231412,256007,661252,879137,1992,1,TX,0,0,0.34996037819167275,0.38715497268817334,0.03719459449650059,0.7521603572594487,48113
DAWSON,1639,2691,4855,7427,1992,1,TX,0,0,0.33759011328527294,0.5542739443872297,0.21668383110195671,0.6536959741483775,48115
DEAF SMITH,1642,3137,5559,8277,1992,1,TX,0,0,0.2953768663428674,0.5643101277208131,0.2689332613779457,0.6716201522290685,48117
DELTA,864,599,2015,2857,1992,1,TX,0,0,0.4287841191066998,0.29727047146401986,-0.13151364764267992,0.7052852642632131,48119
DENTON,27891,48492,116576,148476,1992,1,TX,0,0,0.2392516469942355,0.4159689816085644,0.17671733461432887,0.785150462027533,48121
DEWITT,2127,3238,6730,10139,1992,1,TX,0,0,0.31604754829123327,0.4811292719167905,0.16508172362555723,0.6637735476871486,48123
DICKENS,536,373,1160,1687,1992,1,TX,0,0,0.46206896551724136,0.32155172413793104,-0.14051724137931032,0.6876111440426793,48125
DIMMIT,3172,844,4380,7376,1992,1,TX,0,0,0.7242009132420091,0.19269406392694063,-0.5315068493150684,0.5938177874186551,48127
DONLEY,578,893,1735,2289,1992,1,TX,0,0,0.3331412103746398,0.5146974063400577,0.1815561959654179,0.7579729139362167,48129
DUVAL,4006,698,5035,9178,1992,1,TX,0,0,0.795630585898709,0.13862959285004967,-0.6570009930486593,0.5485944650250599,48131
EASTLAND,2738,2830,7281,10130,1992,1,TX,0,0,0.37604724625738223,0.3886828732316989,0.012635626974316694,0.718756169792695,48133
ECTOR,11130,18161,36073,49865,1992,1,TX,0,0,0.30854101405483325,0.5034513347933357,0.19491032073850245,0.7234132156823423,48135
EDWARDS,254,460,887,1333,1992,1,TX,0,0,0.28635851183765504,0.5186020293122886,0.23224351747463357,0.6654163540885222,48137
ELLIS,9537,13564,33495,44756,1992,1,TX,0,0,0.28472906403940884,0.40495596357665326,0.12022689953724441,0.7483912771471981,48139
EL PASO,67715,47224,135163,210125,1992,1,TX,0,0,0.5009876963370153,0.3493855566982088,-0.15160213963880653,0.6432504461629982,48141
ERATH,3531,3835,10431,13128,1992,1,TX,0,0,0.33851020995110725,0.3676541079474643,0.029143897996357027,0.7945612431444241,48143
FALLS,2761,1826,5773,9075,1992,1,TX,0,0,0.4782608695652174,0.3163000173220163,-0.16196085224320111,0.6361432506887053,48145
FANNIN,4164,2510,9615,13338,1992,1,TX,0,0,0.43307332293291734,0.2610504420176807,-0.17202288091523665,0.7208726945569051,48147
FAYETTE,2923,3789,8823,11514,1992,1,TX,0,0,0.3312932109259889,0.42944576674600476,0.09815255582001586,0.7662845231891611,48149
FISHER,1242,539,2225,3103,1992,1,TX,0,0,0.5582022471910112,0.24224719101123596,-0.31595505617977526,0.7170480180470512,48151
FLOYD,947,1676,3009,4764,1992,1,TX,0,0,0.3147224991691592,0.5569956796277833,0.24227318045862412,0.6316120906801007,48153
FOARD,435,207,796,1178,1992,1,TX,0,0,0.5464824120603015,0.2600502512562814,-0.28643216080402006,0.6757215619694398,48155
FORT BEND,29992,41039,88031,101368,1992,1,TX,0,0,0.3406981631470732,0.4661880473923959,0.1254898842453227,0.8684298792518349,48157
FRANKLIN,1338,1058,3342,4468,1992,1,TX,0,0,0.400359066427289,0.3165769000598444,-0.08378216636744462,0.7479856759176365,48159
FREESTONE,2445,2316,6365,9024,1992,1,TX,0,0,0.38413197172034563,0.3638648860958366,-0.020267085624509018,0.7053413120567376,48161
FRIO,2377,1275,4319,8081,1992,1,TX,0,0,0.5503588793702245,0.29520722389442,-0.25515165547580454,0.5344635564905333,48163
GAINES,1095,2138,3933,5627,1992,1,TX,0,0,0.2784134248665141,0.5436053902873125,0.26519196542079837,0.6989514839168296,48165
GALVESTON,38623,31303,90242,122590,1992,1,TX,0,0,0.4279936171627402,0.34687839365262296,-0.08111522351011724,0.7361285586100008,48167
GARZA,558,982,1888,2863,1992,1,TX,0,0,0.2955508474576271,0.5201271186440678,0.2245762711864407,0.659448131330772,48169
GILLESPIE,1600,4712,8372,10548,1992,1,TX,0,0,0.19111323459149546,0.5628284758719542,0.37171524128045874,0.7937049677664012,48171
GLASSCOCK,100,379,574,729,1992,1,TX,0,0,0.17421602787456447,0.6602787456445993,0.48606271777003485,0.7873799725651578,48173
GOLIAD,1069,1236,2831,3776,1992,1,TX,0,0,0.377605086541858,0.4365948428117273,0.0589897562698693,0.7497351694915254,48175
GONZALES,2006,2502,5557,9757,1992,1,TX,0,0,0.3609861436026633,0.4502429368364225,0.08925679323375924,0.5695398175668751,48177
GRAY,2426,6105,10372,13272,1992,1,TX,0,0,0.23389895873505592,0.5886039336675665,0.3547049749325105,0.7814948764315853,48179
GRAYSON,12547,12322,38332,51204,1992,1,TX,0,0,0.32732442867578004,0.3214546592924971,-0.00586976938328293,0.7486133895789392,48181
GREGG,12797,20542,41829,57718,1992,1,TX,0,0,0.3059360730593607,0.491094695068015,0.1851586220086543,0.7247132610277557,48183
GRIMES,2594,2402,6217,8810,1992,1,TX,0,0,0.41724304326845746,0.3863599806980859,-0.030883062570371544,0.7056753688989784,48185
GUADALUPE,6567,10818,23120,32208,1992,1,TX,0,0,0.28403979238754323,0.46790657439446365,0.18386678200692042,0.7178340784898162,48187
HALE,2761,6098,10234,15412,1992,1,TX,0,0,0.2697869845612664,0.5958569474301348,0.32606996286886847,0.6640280301064105,48189
HALL,819,631,1714,2783,1992,1,TX,0,0,0.47782963827304553,0.36814469078179696,-0.10968494749124857,0.6158821415738411,48191
HAMILTON,1100,1232,3259,4454,1992,1,TX,0,0,0.33752684872660327,0.3780300705737956,0.04050322184719235,0.7317018410417602,48193
HANSFORD,345,1660,2403,3036,1992,1,TX,0,0,0.14357053682896379,0.690803162713275,0.5472326258843112,0.791501976284585,48195
HARDEMAN,954,614,1936,2820,1992,1,TX,0,0,0.4927685950413223,0.31714876033057854,-0.17561983471074377,0.6865248226950355,48197
HARDIN,6753,5885,16793,26140,1992,1,TX,0,0,0.402131840647889,0.35044363722979816,-0.05168820341809083,0.642425401683244,48199
HARRIS,360171,406778,942947,1315010,1992,1,TX,0,0,0.3819631432095335,0.43139009933750255,0.049426956127969046,0.7170645090151405,48201
HARRISON,9538,8733,22683,31776,1992,1,TX,0,0,0.42049111669532246,0.3850019838645682,-0.03548913283075428,0.7138406344410876,48203
HARTLEY,406,1081,1797,2296,1992,1,TX,0,0,0.22593210907067335,0.6015581524763495,0.3756260434056761,0.7826655052264808,48205
HASKELL,1438,852,2853,4138,1992,1,TX,0,0,0.504030844724851,0.29863301787592006,-0.205397826848931,0.6894635089415176,48207
HAYS,10842,10008,27267,36020,1992,1,TX,0,0,0.3976235009351964,0.36703707778633515,-0.03058642314886123,0.7569961132704053,48209
HEMPHILL,479,989,1700,2103,1992,1,TX,0,0,0.2817647058823529,0.581764705882353,0.30000000000000004,0.8083689966714218,48211
HENDERSON,9105,8368,24261,33193,1992,1,TX,0,0,0.37529368121676765,0.3449157083384856,-0.030377972878282034,0.7309071189708674,48213
HIDALGO,51205,26976,88160,152147,1992,1,TX,0,0,0.5808189655172413,0.305989110707804,-0.27482985480943734,0.5794396208929522,48215
HILL,3929,3669,10376,14202,1992,1,TX,0,0,0.3786622976098689,0.35360447185813415,-0.025057825751734764,0.7306013237572173,48217
HOCKLEY,2301,4261,7868,11497,1992,1,TX,0,0,0.29245043213014743,0.5415607524148449,0.24911032028469748,0.6843524397668957,48219
HOOD,4359,5313,14162,17354,1992,1,TX,0,0,0.3077955091088829,0.3751588758649908,0.06736336675610788,0.816065460412585,48221
HOPKINS,4085,3398,10643,13763,1992,1,TX,0,0,0.3838203514046791,0.31927088227003664,-0.06454946913464249,0.7733052386834266,48223
HOUSTON,3250,3067,8020,11895,1992,1,TX,0,0,0.40523690773067333,0.3824189526184539,-0.022817955112219457,0.6742328709541824,48225
HOWARD,3735,5129,10873,15557,1992,1,TX,0,0,0.3435114503816794,0.47171893681596616,0.12820748643428675,0.6989136723018576,48227
HUDSPETH,364,325,869,1367,1992,1,TX,0,0,0.4188722669735328,0.3739930955120829,-0.04487917146144993,0.6356986100950988,48229
HUNT,7452,9739,24650,32609,1992,1,TX,0,0,0.30231237322515214,0.39509127789046655,0.09277890466531441,0.7559262780214051,48231
HUTCHINSON,2833,6034,10888,14192,1992,1,TX,0,0,0.2601947097722263,0.5541880969875091,0.29399338721528284,0.7671927846674182,48233
IRION,256,283,831,1146,1992,1,TX,0,0,0.30806257521058966,0.3405535499398315,0.03249097472924184,0.725130890052356,48235
JACK,1254,1041,3347,4332,1992,1,TX,0,0,0.37466387809979085,0.31102479832685986,-0.06363907977293098,0.7726223453370268,48237
JACKSON,1722,2451,5152,7241,1992,1,TX,0,0,0.3342391304347826,0.47573757763975155,0.14149844720496896,0.711503935920453,48239
JASPER,5658,3870,12087,20259,1992,1,TX,0,0,0.46810622983370564,0.32017870439314966,-0.14792752544055598,0.5966237227898712,48241
JEFF DAVIS,321,360,876,1210,1992,1,TX,0,0,0.3664383561643836,0.410958904109589,0.044520547945205435,0.7239669421487603,48243
JEFFERSON,48405,29622,95543,135220,1992,1,TX,0,0,0.5066305223825921,0.3100384120239055,-0.19659211035868662,0.7065744712320663,48245
JIM HOGG,1520,478,2110,3735,1992,1,TX,0,0,0.7203791469194313,0.22654028436018958,-0.4938388625592417,0.5649263721552878,48247
JIM WELLS,7812,3311,12561,21207,1992,1,TX,0,0,0.6219250059708622,0.26359366292492636,-0.35833134304593584,0.5923044277832791,48249
JOHNSON,12030,13473,37202,49801,1992,1,TX,0,0,0.3233697113058438,0.36215794849739263,0.038788237191548836,0.7470131121865022,48251
JONES,2400,2088,5932,8043,1992,1,TX,0,0,0.4045853000674309,0.3519892110586649,-0.052596089008766,0.7375357453686435,48253
KARNES,1897,1990,4700,7100,1992,1,TX,0,0,0.40361702127659577,0.42340425531914894,0.01978723404255317,0.6619718309859155,48255
KAUFMAN,6498,6578,19060,25771,1992,1,TX,0,0,0.3409233997901364,0.34512067156348375,0.004197271773347333,0.7395910131543207,48257
KENDALL,1374,4162,7354,9248,1992,1,TX,0,0,0.186837095458254,0.5659505031275497,0.3791134076692957,0.7951989619377162,48259
KENEDY,87,69,174,297,1992,1,TX,0,0,0.5,0.39655172413793105,-0.10344827586206895,0.5858585858585859,48261
KENT,271,175,610,801,1992,1,TX,0,0,0.44426229508196724,0.28688524590163933,-0.1573770491803279,0.7615480649188514,48263
KERR,3707,8787,16358,21370,1992,1,TX,0,0,0.22661694583689937,0.5371683579899743,0.3105514121530749,0.7654656059897051,48265
KIMBLE,467,790,1613,2264,1992,1,TX,0,0,0.28952262864228145,0.4897706137631742,0.20024798512089276,0.7124558303886925,48267
KING,54,79,189,223,1992,1,TX,0,0,0.2857142857142857,0.41798941798941797,0.13227513227513227,0.8475336322869955,48269
KINNEY,598,634,1539,1930,1992,1,TX,0,0,0.3885640025990903,0.41195581546458737,0.023391812865497075,0.7974093264248705,48271
KLEBERG,5109,3897,10564,14996,1992,1,TX,0,0,0.4836236274138584,0.3688943581976524,-0.11472926921620596,0.7044545212056549,48273
KNOX,854,521,1815,2669,1992,1,TX,0,0,0.47052341597796143,0.28705234159779613,-0.1834710743801653,0.6800299737729487,48275
LAMAR,6328,5778,16243,23556,1992,1,TX,0,0,0.3895832050729545,0.35572246506187283,-0.03386074001108169,0.6895483104092376,48277
LAMB,1737,2998,5450,8340,1992,1,TX,0,0,0.31871559633027524,0.550091743119266,0.23137614678899077,0.6534772182254197,48279
LAMPASAS,1508,2233,5185,7101,1992,1,TX,0,0,0.29083895853423336,0.43066538090646095,0.1398264223722276,0.7301788480495705,48281
LASALLE,1522,586,2319,3897,1992,1,TX,0,0,0.6563173781802502,0.2526951272100043,-0.40362225097024584,0.5950731331793687,48283
LAVACA,2700,3362,7776,10791,1992,1,TX,0,0,0.3472222222222222,0.4323559670781893,0.08513374485596709,0.7206005004170142,48285
LEE,1847,2108,5058,6708,1992,1,TX,0,0,0.3651640964808225,0.41676551996836697,0.051601423487544484,0.7540250447227191,48287
LEON,2042,2212,5508,8348,1992,1,TX,0,0,0.3707334785766158,0.40159767610748004,0.030864197530864224,0.659798754192621,48289
LIBERTY,7036,6959,18339,26497,1992,1,TX,0,0,0.38366323136485087,0.37946452914553686,-0.00419870221931401,0.6921160886138054,48291
LIMESTONE,3188,2358,7060,10712,1992,1,TX,0,0,0.45155807365439093,0.3339943342776204,-0.11756373937677056,0.6590739357729649,48293
LIPSCOMB,338,839,1453,1834,1992,1,TX,0,0,0.2326221610461115,0.5774260151410874,0.3448038540949759,0.792257360959651,48295
LIVE OAK,1345,1805,3965,6265,1992,1,TX,0,0,0.33921815889029006,0.4552332912988651,0.11601513240857503,0.6328810853950518,48297
LLANO,2409,3056,7283,8723,1992,1,TX,0,0,0.3307702869696554,0.4196073046821365,0.08883701771248109,0.8349191791814743,48299
LOVING,20,31,96,116,1992,1,TX,0,0,0.20833333333333334,0.3229166666666667,0.11458333333333334,0.8275862068965517,48301
LUBBOCK,22240,48847,82858,109552,1992,1,TX,0,0,0.268411016437761,0.5895266600690338,0.32111564363127276,0.7563348911932233,48303
LYNN,902,1233,2428,4001,1992,1,TX,0,0,0.371499176276771,0.5078253706754531,0.1363261943986821,0.606848287928018,48305
MADISON,1553,1544,3883,5585,1992,1,TX,0,0,0.3999484934329127,0.39763069791398403,-0.002317795518928689,0.6952551477170994,48313
MARION,2156,1245,4288,6565,1992,1,TX,0,0,0.5027985074626866,0.29034514925373134,-0.21245335820895528,0.6531607006854532,48315
MARTIN,641,986,1988,2744,1992,1,TX,0,0,0.3224346076458752,0.4959758551307847,0.17354124748490946,0.7244897959183674,48317
MASON,570,776,1722,2274,1992,1,TX,0,0,0.3310104529616725,0.45063879210220675,0.11962833914053428,0.7572559366754618,48319
MATAGORDA,4759,5328,13165,18513,1992,1,TX,0,0,0.36148879605013295,0.40470945689327764,0.04322066084314469,0.7111219143304705,48321
MAVERICK,4540,2002,7339,13343,1992,1,TX,0,0,0.6186128900395149,0.27278920833901077,-0.34582368170050415,0.5500262309825377,48323
MCCULLOCH,1393,1108,3491,4778,1992,1,TX,0,0,0.39902606702950444,0.3173875680320825,-0.08163849899742193,0.7306404353285894,48307
MCLENNAN,25903,28473,70016,98807,1992,1,TX,0,0,0.36995829524680074,0.40666419104204754,0.0367058957952468,0.7086137621828413,48309
MCMULLEN,78,274,443,631,1992,1,TX,0,0,0.17607223476297967,0.618510158013544,0.44243792325056436,0.7020602218700476,48311
MEDINA,3650,4912,10785,15209,1992,1,TX,0,0,0.3384330088085304,0.4554473806212332,0.1170143718127028,0.709119600236702,48325
MENARD,553,354,1277,1643,1992,1,TX,0,0,0.4330462020360219,0.27721221613155833,-0.15583398590446357,0.7772367620206938,48327
MIDLAND,9160,24143,41347,51714,1992,1,TX,0,0,0.2215396522117687,0.5839117711079401,0.36237211889617144,0.7995320416134896,48329
MILAM,3542,2414,7468,11919,1992,1,TX,0,0,0.4742903053026245,0.32324584895554365,-0.15104445634708086,0.6265626310932125,48331
MILLS,753,702,1990,2569,1992,1,TX,0,0,0.378391959798995,0.3527638190954774,-0.0256281407035176,0.7746204748929545,48333
MITCHELL,1353,1128,3093,4542,1992,1,TX,0,0,0.43743937924345294,0.3646944713870029,-0.07274490785645005,0.6809775429326288,48335
MONTAGUE,2885,2304,7526,10227,1992,1,TX,0,0,0.3833377624235982,0.3061387191070954,-0.07719904331650279,0.735895179427007,48337
MONTGOMERY,18551,39976,77958,99354,1992,1,TX,0,0,0.23796146643064214,0.5127889376330845,0.2748274712024424,0.7846488314511746,48339
MOORE,1361,3147,5498,7472,1992,1,TX,0,0,0.24754456165878502,0.5723899599854493,0.32484539832666426,0.735813704496788,48341
MORRIS,3028,1400,5569,8173,1992,1,TX,0,0,0.5437241874663314,0.2513916322499551,-0.29233255521637636,0.6813899424935764,48343
MOTLEY,256,446,819,1099,1992,1,TX,0,0,0.3125763125763126,0.5445665445665445,0.23199023199023194,0.7452229299363057,48345
NACOGDOCHES,6937,9864,21643,30727,1992,1,TX,0,0,0.32051933650602965,0.4557593679249642,0.13524003141893454,0.7043642399192892,48347
NAVARRO,6006,4897,14721,20821,1992,1,TX,0,0,0.4079885877318117,0.3326540316554582,-0.07533455607635348,0.7070265597233563,48349
NEWTON,3249,1212,5508,8473,1992,1,TX,0,0,0.5898692810457516,0.22004357298474944,-0.36982570806100223,0.6500649120736457,48351
NOLAN,2490,1993,5952,8222,1992,1,TX,0,0,0.4183467741935484,0.3348454301075269,-0.0835013440860215,0.7239114570664072,48353
NUECES,46317,36781,100791,144844,1992,1,TX,0,0,0.4595350775366848,0.364923455467254,-0.0946116220694308,0.6958589931236364,48355
OCHILTREE,557,2419,3554,4561,1992,1,TX,0,0,0.15672481710748454,0.6806415306696679,0.5239167135621834,0.7792150844113133,48357
OLDHAM,225,583,987,1290,1992,1,TX,0,0,0.22796352583586627,0.5906788247213779,0.36271529888551163,0.7651162790697674,48359
ORANGE,15305,9793,32490,43821,1992,1,TX,0,0,0.4710680209295168,0.30141582025238534,-0.16965220067713144,0.7414253440131444,48361
PALO PINTO,3392,2852,9275,13164,1992,1,TX,0,0,0.3657142857142857,0.3074932614555256,-0.058221024258760135,0.7045730780917654,48363
PANOLA,3950,3473,9332,12926,1992,1,TX,0,0,0.42327475353621946,0.3721603086155165,-0.05111444492070294,0.7219557481045954,48365
PARKER,7934,10321,27494,34020,1992,1,TX,0,0,0.2885720520840911,0.37539099439877793,0.08681894231468684,0.8081716637272193,48367
PARMER,637,1829,3033,3861,1992,1,TX,0,0,0.21002307945928125,0.6030333003626772,0.393010220903396,0.7855477855477856,48369
PECOS,1778,1836,4523,7323,1992,1,TX,0,0,0.3931019235021004,0.40592527083793944,0.012823347335839064,0.6176430424689335,48371
POLK,5942,5390,14254,20799,1992,1,TX,0,0,0.4168654412796408,0.37813946962256206,-0.03872597165707875,0.6853214096831578,48373
POTTER,9527,13510,27775,36395,1992,1,TX,0,0,0.343006300630063,0.4864086408640864,0.14340234023402343,0.7631542794339882,48375
PRESIDIO,1189,400,1891,3050,1992,1,TX,0,0,0.6287678476996298,0.21152829190904285,-0.4172395557905869,0.62,48377
RAINS,1108,975,2983,3941,1992,1,TX,0,0,0.3714381495139122,0.3268521622527657,-0.04458598726114649,0.7569144887084497,48379
RANDALL,9119,24971,40537,49960,1992,1,TX,0,0,0.2249549794015344,0.616005131114784,0.39105015171324964,0.8113891112890312,48381
REAGAN,337,651,1250,1840,1992,1,TX,0,0,0.2696,0.5208,0.25120000000000003,0.6793478260869565,48383
REAL,463,787,1640,2123,1992,1,TX,0,0,0.2823170731707317,0.4798780487804878,0.1975609756097561,0.7724917569477155,48385
RED RIVER,2686,1735,5655,8544,1992,1,TX,0,0,0.47497789566755083,0.3068081343943413,-0.16816976127320954,0.6618679775280899,48387
REEVES,2569,1244,4557,7371,1992,1,TX,0,0,0.5637480798771122,0.2729866140004389,-0.2907614658766733,0.6182336182336182,48389
REFUGIO,1531,1469,3732,5201,1992,1,TX,0,0,0.4102357984994641,0.39362272240085744,-0.016613076098606683,0.7175543164776005,48391
ROBERTS,126,391,617,781,1992,1,TX,0,0,0.20421393841166938,0.6337115072933549,0.42949756888168555,0.7900128040973111,48393
ROBERTSON,2927,1707,5604,8968,1992,1,TX,0,0,0.5223054960742327,0.30460385438972165,-0.21770164168451106,0.6248884924174843,48395
ROCKWALL,2397,6427,13269,16277,1992,1,TX,0,0,0.18064661994121636,0.48436204687617757,0.30371542693496123,0.8151993610616207,48397
RUNNELS,1401,1653,4340,6278,1992,1,TX,0,0,0.3228110599078341,0.38087557603686634,0.05806451612903224,0.6913029627269831,48399
